# Rime user dictionary
#@/db_name	moran
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	2765
#@/user_id	rime-huan
jq;yj xy;xi 	就行	c=1 d=1 t=2064
jw;aa gu;go wf;wi 	甲骨文	c=1 d=1 t=1359
jw;bu 	家	c=0 d=0.1 t=2476
jw;lk le;aa 	加了	c=1 d=1 t=1611
jw;lk mi;ub 	加密	c=2 d=1.43605 t=2190
jw;rj ge;mg 	價格	c=1 d=1 t=1313
jx;cj kb;aa 	藉口	c=4 d=1.96795 t=1822
jx;fq kb;aa 	接口	c=3 d=1.46334 t=2220
jx;gv vi;aa 	截止	c=1 d=1 t=1767
jx;jn 	解	c=1 d=1 t=2203
jx;jn mi;ub 	解密	c=4 d=2.4633 t=2218
jx;jn ya;ty 	解壓	c=2 d=1.8825 t=333
jx;sj gb;mg 	結構	c=1 d=1 t=1025
jx;sj go;tm 	結果	c=1 d=1 t=1982
jx;tj mm;aa 	界面	c=2 d=1.00004 t=2575
jx;vj dm;hv 	節點	c=3 d=1.85125 t=2269
jy;jj 	鏡	c=2 d=1.99501 t=2611
jy;jj xd;rx 	鏡像	c=5 d=3.72943 t=2620
jy;le 	竟	c=5 d=4.95037 t=2616
jy;oj xd;du 	景象	c=1 d=1 t=2599
jy;oj yr;ky 	景園	c=0 d=0.1 t=1362
jy;sg go;zg 	經過	c=1 d=1 t=940
jy;wx xi;aa 	京西	c=0 d=0.1 t=1362
jy;wx xi;aa jy;oj yr;ky 	京西景園	c=1 d=1 t=1363
ka;bx 	卡	c=2 d=1.9802 t=184
ka;ub dp;yt 	卡頓	c=1 d=1 t=1930
ke;bg ty;gt 	客廳	c=1 d=1 t=1682
ke;dh yu;ba ui;ys 	刻與詩	c=1 d=1 t=1327
ke;dk yi;rd 	可以	c=15 d=2.63634 t=2678
kf;ov dy;bp 	肯定	c=2 d=1.29969 t=2489
kj;ou 	看	c=5 d=1.00229 t=2567
kj;ou bu;ad dk;dv 	看不到	c=1 d=1 t=708
kj;ou bu;ad jm;oe 	看不見	c=2 d=1.00001 t=2754
kj;ou bu;ad lc;aa 	看不了	c=2 d=1.00008 t=2027
kj;ou dk;dv 	看到	c=2 d=1.00447 t=1119
kj;ou kj;ou 	看看	c=3 d=1.00126 t=1990
kj;ou le;aa 	看了	c=1 d=1 t=411
kj;ou qi;zj ll;ad 	看起來	c=2 d=1.00681 t=1994
kj;ou ua;ku 	看啥	c=1 d=1 t=1876
kj;ou xw;ab 	看下	c=1 d=1 t=1808
kl;mk fa;du 	開發	c=9 d=1.83898 t=2115
kl;mk hu;pk hh;xi 	開戶行	c=1 d=1 t=1778
ks;bg 	空	c=3 d=1.04925 t=1255
ku;gi 	庫	c=4 d=1.25253 t=1240
kw;zk yu;th 	跨域	c=1 d=1 t=650
la;cl xw;ab ll;ad 	落下來	c=1 d=1 t=110
la;fl 	拉	c=1 d=1 t=112
la;fl go;zg 	拉過	c=1 d=1 t=1474
lc;ol jx;jn 	瞭解	c=1 d=1 t=748
ld;ar ge;rg 	兩個	c=4 d=2.08177 t=2672
ld;ar tm;ad 	兩天	c=1 d=1 t=1761
ld;ar vh;gi 	兩張	c=1 d=1 t=2298
le;aa 	了	c=68 d=4.9786 t=2757
li;gp qi;qm 	力氣	c=0 d=0.1 t=2580
li;vl xm;sq 	離線	c=2 d=1.38289 t=364
li;wy 	裏	c=8 d=1.25507 t=2723
li;wy mm;aa 	裏面	c=14 d=1.54878 t=2706
lk;lb ui;vb 	老師	c=1 d=1 t=78
ll;ad 	來	c=1 d=1 t=1649
lm;ea tc;yv 	聯調	c=3 d=1.27345 t=1085
lm;jl jx;fq 	鏈接	c=1 d=1 t=1077
lm;jl ui;gy 	鏈式	c=1 d=1 t=2457
lm;zi 	連	c=1 d=1 t=716
lm;zi bu;ad uh;aa 	連不上	c=1 d=1 t=428
lm;zi jx;fq gs;aa ju;ba 	連接工具	c=1 d=1 t=1117
lq;di ig;hi 	流程	c=2 d=1.9802 t=1607
lq;dj ss;mg jx;hm 	劉松杰	c=1 d=1 t=1018
lq;dl lj;jl qi;kk 	瀏覽器	c=1 d=1 t=1141
lx;dd bc;fy 	列表	c=6 d=2.07577 t=1639
lx;mu bc;fy 	毟表	c=1 d=1 t=1638
ly;wl ho;du 	靈活	c=1 d=1 t=2247
lz;yl 	類	c=7 d=2.1677 t=2450
lz;yl bx;dd 	類別	c=1 d=1 t=1286
lz;yl si;ry 	類似	c=1 d=1 t=2730
lz;yl xy;tx 	類型	c=4 d=3.02747 t=1677
ma;gl fj;hy 	麻煩	c=2 d=1.00002 t=2460
ma;gl fj;hy le;aa 	麻煩了	c=1 d=1 t=1417
ma;km 	嘛	c=2 d=1.41686 t=677
mc;fm uu;zu 	描述	c=1 d=1 t=1794
mi;ub 	密	c=1 d=1 t=910
mi;ub ma;um 	密碼	c=5 d=1.60826 t=403
mi;ub yk;jc 	密鑰	c=1 d=1 t=2216
mm;aa 	面	c=1 d=1 t=23
mo;hq rf;yr 	默認	c=3 d=1.00418 t=1596
mo;mm hu;mh 	模糊	c=1 d=1 t=2577
mo;mm hu;mh ia;md xp;yx 	模糊查詢	c=1 d=1 t=840
mo;mm ky;tg 	模塊	c=4 d=1.55414 t=1040
mo;mm ui;gy 	模式	c=1 d=1 t=2131
mu;aa lu;jl 	目錄	c=5 d=2.84922 t=2662
my;oo tm;ad 	明天	c=2 d=1.0124 t=1745
my;xk 	名	c=1 d=1 t=1264
my;xk ig;hr 	名稱	c=2 d=1.00127 t=2504
mz;du 	沒	c=4 d=0.619904 t=2493
mz;du fa;dq 	沒法	c=1 d=1 t=1791
mz;du fa;dq ns;cw 	沒法弄	c=1 d=1 t=2685
mz;du fj;py yy;xv 	沒反應	c=1 d=1 t=410
mz;du gz;sh 	沒給	c=1 d=1 t=2229
mz;du hr;fh 	沒換	c=1 d=1 t=824
mz;du hv;kk 	沒回	c=0 d=0.1 t=1055
mz;du hv;kk wo;pd 	沒回我	c=1 d=1 t=1056
mz;du id;dc jm;zy bc;fy 	沒創建表	c=1 d=1 t=2381
mz;du ir;rv 	沒傳	c=1 d=1 t=2344
mz;du ne;kn 	沒呢	c=1 d=1 t=1910
mz;du qi;zj 	沒起	c=2 d=1.99005 t=1800
mz;du sb;fs dk;dv 	沒搜到	c=1 d=1 t=1259
mz;du tc;yv 	沒調	c=1 d=1 t=143
